Loop_1,valid_scene_indices_out,MEY_out,MEY_out_all,MEP_out,MEP_out_all
0,0,0.000893402,0.000893402,2.20799,2.20799
9,,0.000394606,0.000831056,3.48098,3.62501
10,,0.000404756,0.00093344,3.54653,3.64238
16,,0.000532457,0.00528279,3.38692,3.56577
19,,0.00053121,0.0381843,1.20527,9.40279
20,,0.0005475,0.00839214,1.51212,4.10013
21,,0.000430494,0.0501181,1.10756,9.49695
22,,0.0012911,0.0253259,1.62396,5.26924
23,,0.0114293,0.0152967,2.23414,2.08811
35,,0.000578773,0.0389429,1.373,6.32952
36,,0.000699519,0.000699519,1.42931,1.42931
37,,0.000606657,0.00455276,1.27451,1.41861
38,,0.00247997,0.0352958,1.71461,8.48254
39,,0.0117493,0.0122549,3.97663,5.43116
41,,0.000642283,0.00217558,2.98099,3.25017
42,,0.000458875,0.00873564,3.41001,3.91199
44,,0.00612997,0.00632943,1.69996,1.67526
45,,0.00523163,0.00523163,2.15285,2.15285
46,,0.000804272,0.00119817,1.28851,1.28432
47,,0.00577514,0.00562537,2.37295,2.44886
49,,0.000568917,0.01859,4.19852,7.15055
50,,0.00208723,0.00282321,1.32727,1.17614
51,,0.00816395,0.00965026,2.03455,2.14645
56,,0.000491608,0.000491608,1.98473,1.98473
58,,0.000311541,0.00171582,3.27296,3.21944
64,,0.000568083,0.0143564,1.39364,2.34765
65,,0.000537213,0.0529002,1.21001,10.0248
66,,0.00136486,0.0481273,4.161,11.5996
70,,0.000337704,0.0822251,1.2055,12.3998
71,,0.00106314,0.0583564,2.04675,11.4108
72,,0.000623127,0.0210747,1.3501,8.65953
73,,0.00153441,0.0128467,1.21465,2.57042
74,,0.014448,0.0567156,3.7168,8.45759
75,,0.000750943,0.000823457,3.21885,3.21885
80,,0.00882751,0.00889139,2.29056,2.29284
81,,0.000750279,0.000750279,1.19234,1.19234
82,,0.0132131,0.0146105,2.87699,2.72433
83,,0.000674222,0.00186381,1.50079,1.5526
84,,0.00789407,0.0075587,2.10751,2.31216
90,,0.000625656,0.00170232,1.80727,2.46036
97,,0.0131848,0.0431537,5.88967,6.55092
98,,0.00101985,0.00101984,1.68754,1.68928